Month,#Passengers
2008-01,1449469
2008-02,1486418
2008-03,1405016
2008-04,1260776
2008-05,1175895
2008-06,1152570
2008-07,1274471
2008-08,1178932
2008-09,894187
2008-10,1096728
2008-11,1085381
2008-12,1164529
2009-01,1290009
2009-02,1162561
2009-03,1254526
2009-04,1110896
2009-05,944027
2009-06,969445
2009-07,1116528
2009-08,1170383
2009-09,1082320
2009-10,1248880
2009-11,1412636
2009-12,1741273
2010-01,1676025
2010-02,1687229
2010-03,1515533
2010-04,1177403
2010-05,895048
2010-06,1042325
2010-07,1355698
2010-08,1369441
2010-09,1302267
2010-10,1313718
2010-11,1591158
2010-12,1879509
2011-01,1705668
2011-02,1705668
2011-03,1705668
2011-04,1705668
2011-05,1705668
2011-06,1705668
2011-07,1705668
2011-08,1705668
2011-09,1705668
2011-10,1705668
2011-11,1705668
2011-12,1705668
2012-01,2128036
2012-02,2002382
2012-03,2025245
2012-04,1810137
2012-05,1665468
2012-06,1797488
2012-07,1955868
2012-08,2065285
2012-09,1737405
2012-10,1956540
2012-11,2310688
2012-12,2618398
2013-01,2507887
2013-02,2504396
2013-03,2563468
2013-04,2316245
2013-05,2159865
2013-06,2250947
2013-07,2320226
2013-08,2403152
2013-09,2142652
2013-10,2205431
2013-11,2543440
2013-12,2743784
2014-01,2504882
2014-02,2268900
2014-03,2260934
2014-04,2198565
2014-05,1904240
2014-06,1681691
2014-07,2060008
2014-08,2212610
2014-09,2023930
2014-10,2395226
2014-11,2650055
2014-12,3135499
2015-01,2952967
2015-02,2985119
2015-03,2895893
2015-04,2756905
2015-05,2652197
2015-06,2582353
2015-07,2956568
2015-08,2884556
2015-09,2289923
2015-10,2510308
2015-11,2884774
2015-12,3384493
2016-01,3315894
2016-02,3438887
2016-03,3348408
2016-04,2994333
2016-05,2805797
2016-06,2691487
2016-07,3245245
2016-08,3108992
2016-09,2637166
2016-10,2507461
2016-11,2740624
2016-12,3390906
2017-01,3540709
2017-02,3251546
2017-03,3364336
2017-04,3275638
2017-05,2907448
2017-06,3253668
2017-07,3436601
2017-08,3526502
2017-09,2831298
2017-10,3105714
2017-11,3469147
2017-12,4013816
2018-01,3957144
2018-02,3956953
2018-03,3900302
2018-04,3546449
2018-05,3103156
2018-06,3395890
2018-07,3516048
2018-08,3615041
2018-09,2990704
2018-10,3070665
2018-11,3626531
2018-12,4324375
2019-01,4175812
2019-02,4048612
2019-03,3939016
2019-04,3856079
2019-05,3129230
2019-06,3596758
2019-07,3696957
2019-08,3858694
2019-09,3240257
