month,value
2008-01,453858
2008-02,446390
2008-03,574414
2008-04,641661
2008-05,552883
2008-06,455391
2008-07,493168
2008-08,453602
2008-09,440848
2008-10,569028
2008-11,441750
2008-12,506759
2009-01,470495
2009-02,460229
2009-03,571745
2009-04,630301
2009-05,530789
2009-06,462992
2009-07,528495
2009-08,507783
2009-09,514712
2009-10,658751
2009-11,530127
2009-12,623018
2010-01,590833
2010-02,453039
2010-03,642682
2010-04,745376
2010-05,625263
2010-06,529634
2010-07,596071
2010-08,547663
2010-09,564444
2010-10,607443
2010-11,555047
2010-12,575388
2011-01,592329
2011-02,592329
2011-03,592329
2011-04,592329
2011-05,592329
2011-06,592329
2011-07,592329
2011-08,592329
2011-09,592329
2011-10,592329
2011-11,592329
2011-12,592329
2012-01,541080
2012-02,574568
2012-03,677419
2012-04,787846
2012-05,636543
2012-06,550745
2012-07,570213
2012-08,597811
2012-09,601593
2012-10,721335
2012-11,600491
2012-12,686106
2013-01,579059
2013-02,561570
2013-03,746012
2013-04,815008
2013-05,695372
2013-06,570258
2013-07,610875
2013-08,597493
2013-09,591064
2013-10,756497
2013-11,612757
2013-12,720581
2014-01,576100
2014-02,579256
2014-03,747027
2014-04,852212
2014-05,721126
2014-06,642312
2014-07,673181
2014-08,697446
2014-09,645483
2014-10,833787
2014-11,707656
2014-12,813023
2015-01,704394
2015-02,609222
2015-03,840973
2015-04,928459
2015-05,799297
2015-06,663251
2015-07,722330
2015-08,675548
2015-09,668199
2015-10,902348
2015-11,750094
2015-12,906823
2016-01,796378
2016-02,777240
2016-03,961888
2016-04,1065238
2016-05,921490
2016-06,754654
2016-07,845513
2016-08,766293
2016-09,785466
2016-10,976614
2016-11,857656
2016-12,973986
2017-01,804382
2017-02,819060
2017-03,984939
2017-04,1109674
2017-05,915820
2017-06,795485
2017-07,855473
2017-08,781222
2017-09,773383
2017-10,1029990
2017-11,928653
2017-12,1057439
2018-01,939895
2018-02,844227
2018-03,1125673
2018-04,1236563
2018-05,1054545
2018-06,923142
2018-07,988435
2018-08,912859
2018-09,925698
2018-10,1204272
2018-11,1042703
2018-12,1191065
2019-01,1026580
2019-02,989214
2019-03,1234832
2019-04,1346168
2019-05,1140420
2019-06,1049279
2019-07,1064425
2019-08,998114
2019-09,1004497
