date,value
2008-01,487566
2008-02,430472
2008-03,538029
2008-04,642260
2008-05,556150
2008-06,462104
2008-07,488676
2008-08,444909
2008-09,453774
2008-10,530690
2008-11,460390
2008-12,498872
2009-01,495955
2009-02,445218
2009-03,545631
2009-04,625767
2009-05,541826
2009-06,462279
2009-07,514099
2009-08,501479
2009-09,499913
2009-10,643761
2009-11,558128
2009-12,600964
2010-01,571998
2010-02,438808
2010-03,623515
2010-04,722003
2010-05,604041
2010-06,531030
2010-07,591425
2010-08,535768
2010-09,527759
2010-10,629502
2010-11,566143
2010-12,601215
2011-01,587296
2011-02,587296
2011-03,587296
2011-04,587296
2011-05,587296
2011-06,587296
2011-07,587296
2011-08,587296
2011-09,587296
2011-10,587296
2011-11,587296
2011-12,587296
2012-01,557895
2012-02,531919
2012-03,629771
2012-04,760337
2012-05,626613
2012-06,539934
2012-07,565787
2012-08,559370
2012-09,555803
2012-10,715247
2012-11,576771
2012-12,632367
2013-01,578777
2013-02,505863
2013-03,682399
2013-04,787087
2013-05,685878
2013-06,565335
2013-07,603517
2013-08,541004
2013-09,562457
2013-10,740875
2013-11,606938
2013-12,659993
2014-01,598980
2014-02,523043
2014-03,688243
2014-04,822207
2014-05,701498
2014-06,645741
2014-07,695677
2014-08,639772
2014-09,616617
2014-10,807652
2014-11,721899
2014-12,763104
2015-01,749987
2015-02,599038
2015-03,804308
2015-04,903304
2015-05,786717
2015-06,691036
2015-07,672705
2015-08,691719
2015-09,660351
2015-10,872719
2015-11,774955
2015-12,853863
2016-01,838766
2016-02,743284
2016-03,912661
2016-04,1014099
2016-05,942887
2016-06,744773
2016-07,836522
2016-08,734329
2016-09,751675
2016-10,930992
2016-11,859345
2016-12,913739
2017-01,884738
2017-02,776641
2017-03,926312
2017-04,1052426
2017-05,946809
2017-06,807300
2017-07,831510
2017-08,784686
2017-09,703072
2017-10,1005506
2017-11,901352
2017-12,989138
2018-01,1004905
2018-02,812129
2018-03,1067628
2018-04,1211405
2018-05,1057243
2018-06,913583
2018-07,984568
2018-08,905489
2018-09,899356
2018-10,1196623
2018-11,1042276
2018-12,1152936
2019-01,1121887
2019-02,937789
2019-03,1204944
2019-04,1333200
2019-05,1143311
2019-06,1043579
2019-07,1062711
2019-08,971375
2019-09,993623
