Month,#Passengers
2008-01,1493421
2008-02,1514069
2008-03,1512900
2008-04,1248468
2008-05,1206779
2008-06,1139372
2008-07,1224587
2008-08,1195531
2008-09,880578
2008-10,1072427
2008-11,1019611
2008-12,973696
2009-01,1301345
2009-02,1196384
2009-03,1343752
2009-04,1158997
2009-05,958744
2009-06,942701
2009-07,1050001
2009-08,1224829
2009-09,1048131
2009-10,1178438
2009-11,1345800
2009-12,1558670
2010-01,1570472
2010-02,1680249
2010-03,1597019
2010-04,1285453
2010-05,955607
2010-06,942750
2010-07,1247768
2010-08,1432508
2010-09,560845
2010-10,1263843
2010-11,1419051
2010-12,1714293
2011-01,1668662
2011-02,1668662
2011-03,1668662
2011-04,1668662
2011-05,1668662
2011-06,1668662
2011-07,1668662
2011-08,1668662
2011-09,1668662
2011-10,1668662
2011-11,1668662
2011-12,1668662
2012-01,2116286
2012-02,1982353
2012-03,2074842
2012-04,1813457
2012-05,1676134
2012-06,1639462
2012-07,1875504
2012-08,2062069
2012-09,1704407
2012-10,1878248
2012-11,2151831
2012-12,2368704
2013-01,2556032
2013-02,2517299
2013-03,2651623
2013-04,2317825
2013-05,2139624
2013-06,2149188
2013-07,2224813
2013-08,2403956
2013-09,2136098
2013-10,2140076
2013-11,2391222
2013-12,2509909
2014-01,2548403
2014-02,2390455
2014-03,2444839
2014-04,2173422
2014-05,1938607
2014-06,1662238
2014-07,1883156
2014-08,2269063
2014-09,1993328
2014-10,2286773
2014-11,2561593
2014-12,2853528
2015-01,3007398
2015-02,3018543
2015-03,3046024
2015-04,2750232
2015-05,2667128
2015-06,2542165
2015-07,2771336
2015-08,3030767
2015-09,2238323
2015-10,2424783
2015-11,2737030
2015-12,3077482
2016-01,3322072
2016-02,3512735
2016-03,3398156
2016-04,2981876
2016-05,2845040
2016-06,2581449
2016-07,3004171
2016-08,3223464
2016-09,2577745
2016-10,2450899
2016-11,2558796
2016-12,2992113
2017-01,3433842
2017-02,3392362
2017-03,3446349
2017-04,3252620
2017-05,2914950
2017-06,3063464
2017-07,3265028
2017-08,3516427
2017-09,2750827
2017-10,2931961
2017-11,3177413
2017-12,3638385
2018-01,3911259
2018-02,3988344
2018-03,3994403
2018-04,3670548
2018-05,3193742
2018-06,3246726
2018-07,3437631
2018-08,3648458
2018-09,2992246
2018-10,3007424
2018-11,3401078
2018-12,3967993
2019-01,4219598
2019-02,4137320
2019-03,4204894
2019-04,3790019
2019-05,3192476
2019-06,3516513
2019-07,3546978
2019-08,3913902
2019-09,3250470
