date,dateTransform
1569888000000,2019-10-01T00:00:00.000Z
1572566400000,2019-11-01T00:00:00.000Z
1575158400000,2019-12-01T00:00:00.000Z
1577836800000,2020-01-01T00:00:00.000Z
1580515200000,2020-02-01T00:00:00.000Z
1583020800000,2020-03-01T00:00:00.000Z
1585699200000,2020-04-01T00:00:00.000Z
1588291200000,2020-05-01T00:00:00.000Z
1590969600000,2020-06-01T00:00:00.000Z
1593561600000,2020-07-01T00:00:00.000Z
1596240000000,2020-08-01T00:00:00.000Z
1598918400000,2020-09-01T00:00:00.000Z
1601510400000,2020-10-01T00:00:00.000Z
1604188800000,2020-11-01T00:00:00.000Z
1606780800000,2020-12-01T00:00:00.000Z
1609459200000,2021-01-01T00:00:00.000Z
1612137600000,2021-02-01T00:00:00.000Z
1614556800000,2021-03-01T00:00:00.000Z
1617235200000,2021-04-01T00:00:00.000Z
1619827200000,2021-05-01T00:00:00.000Z
1622505600000,2021-06-01T00:00:00.000Z
1625097600000,2021-07-01T00:00:00.000Z
1627776000000,2021-08-01T00:00:00.000Z
1630454400000,2021-09-01T00:00:00.000Z
1633046400000,2021-10-01T00:00:00.000Z
1635724800000,2021-11-01T00:00:00.000Z
1638316800000,2021-12-01T00:00:00.000Z
1640995200000,2022-01-01T00:00:00.000Z
1643673600000,2022-02-01T00:00:00.000Z
1646092800000,2022-03-01T00:00:00.000Z
1648771200000,2022-04-01T00:00:00.000Z
1651363200000,2022-05-01T00:00:00.000Z
1654041600000,2022-06-01T00:00:00.000Z
1656633600000,2022-07-01T00:00:00.000Z
1659312000000,2022-08-01T00:00:00.000Z
1661990400000,2022-09-01T00:00:00.000Z
1664582400000,2022-10-01T00:00:00.000Z
1667260800000,2022-11-01T00:00:00.000Z
1669852800000,2022-12-01T00:00:00.000Z
1672531200000,2023-01-01T00:00:00.000Z
1675209600000,2023-02-01T00:00:00.000Z
1677628800000,2023-03-01T00:00:00.000Z
1680307200000,2023-04-01T00:00:00.000Z
1682899200000,2023-05-01T00:00:00.000Z
1685577600000,2023-06-01T00:00:00.000Z
1688169600000,2023-07-01T00:00:00.000Z
1690848000000,2023-08-01T00:00:00.000Z
1693526400000,2023-09-01T00:00:00.000Z
1696118400000,2023-10-01T00:00:00.000Z
1698796800000,2023-11-01T00:00:00.000Z
1701388800000,2023-12-01T00:00:00.000Z
1704067200000,2024-01-01T00:00:00.000Z
1706745600000,2024-02-01T00:00:00.000Z
1709251200000,2024-03-01T00:00:00.000Z
1711929600000,2024-04-01T00:00:00.000Z
1714521600000,2024-05-01T00:00:00.000Z
1717200000000,2024-06-01T00:00:00.000Z
1719792000000,2024-07-01T00:00:00.000Z
1722470400000,2024-08-01T00:00:00.000Z
1725148800000,2024-09-01T00:00:00.000Z
